0,1
0.0006,1
0.0012,1
0.0018,1
0.0024,1
0.003,1
0.0036,1
0.0042,1
0.0048,1
0.0054,0.99989
0.006,0.99806
0.0066,0.98349
0.0072,0.92508
0.0078,0.7924
0.0084,0.60006
0.009,0.40147
0.0096,0.24134
0.0102,0.13308
0.0108,0.068486
0.0114,0.033295
0.012,0.015409
0.0126,0.0068192
0.0132,0.0028927
0.0138,0.0011777
0.0144,0.00046043
0.015,0.00017292
0.0156,6.2393e-05
0.0162,2.1629e-05
0.0168,7.2042e-06
0.0174,2.3055e-06
0.018,7.0888e-07
0.0186,2.0942e-07
0.0192,5.9444e-08
0.0198,1.6212e-08
0.0204,4.2481e-09
0.021,1.0695e-09
0.0216,2.5872e-10
0.0222,6.0132e-11
0.0228,1.3428e-11
0.0234,2.8813e-12
0.024,5.9397e-13
0.0246,1.1768e-13
0.0252,2.2427e-14
0.0258,4.1078e-15
0.0264,6.6613e-16
0.027,1.1102e-16
0.0276,0
0.0282,0
0.0288,0
0.0294,0
0.03,0
