0,1.7064
0.0006,1.6726
0.0012,1.5753
0.0018,1.4255
0.0024,1.2393
0.003,1.0353
0.0036,0.83093
0.0042,0.64078
0.0048,0.47478
0.0054,0.338
0.006,0.23119
0.0066,0.15194
0.0072,0.09594
0.0078,0.058206
0.0084,0.03393
0.009,0.019003
0.0096,0.010226
0.0102,0.0052873
0.0108,0.0026266
0.0114,0.0012537
0.012,0.00057494
0.0126,0.00025334
0.0132,0.00010725
0.0138,4.3627e-05
0.0144,1.7051e-05
0.015,6.4027e-06
0.0156,2.3101e-06
0.0162,8.008e-07
0.0168,2.6672e-07
0.0174,8.5356e-08
0.018,2.6245e-08
0.0186,7.7535e-09
0.0192,2.2008e-09
0.0198,6.0022e-10
0.0204,1.5728e-10
0.021,3.9598e-11
0.0216,9.5787e-12
0.0222,2.2263e-12
0.0228,4.9716e-13
0.0234,1.0667e-13
0.024,2.1991e-14
0.0246,4.3558e-15
0.0252,8.2895e-16
0.0258,1.5158e-16
0.0264,2.663e-17
0.027,4.4952e-18
0.0276,7.2906e-19
0.0282,1.1361e-19
0.0288,1.701e-20
0.0294,2.447e-21
0.03,3.3822e-22
